date,provider,resource_id,resource_type,service,region,vcpu,memory_gb,cpu_util_percent,cpu_hours,memory_gb_hours,storage_gb,network_gb,is_spot,idle_flag,cost_usd
2025-04-03,aws,aws-001,vm,EC2,us-east-1,4,8,32.145,7.715,2.737,501.447,10.399,False,False,2.2429
2025-04-04,aws,aws-001,vm,EC2,us-east-1,4,8,39.469,9.473,3.405,498.943,13.278,False,False,2.3183
2025-04-05,aws,aws-001,vm,EC2,us-east-1,4,8,20.878,5.011,1.005,503.169,12.631,False,False,1.7258
2025-04-06,aws,aws-001,vm,EC2,us-east-1,4,8,22.44,5.386,1.512,501.593,8.112,False,False,1.8569
2025-04-07,aws,aws-001,vm,EC2,us-east-1,4,8,38.9,9.336,3.194,497.771,13.551,False,False,2.4251
2025-04-08,aws,aws-001,vm,EC2,us-east-1,4,8,43.288,10.389,2.478,504.215,9.227,False,False,2.5987
2025-04-09,aws,aws-001,vm,EC2,us-east-1,4,8,41.454,9.949,3.247,513.358,14.988,False,False,2.5878
2025-04-10,aws,aws-001,vm,EC2,us-east-1,4,8,43.492,10.438,3.598,498.642,6.541,False,False,2.2886
2025-04-11,aws,aws-001,vm,EC2,us-east-1,4,8,37.659,9.038,2.348,502.646,5.538,False,False,2.2567
2025-04-12,aws,aws-001,vm,EC2,us-east-1,4,8,23.819,5.717,0.988,500.021,9.567,False,False,1.736
2025-04-13,aws,aws-001,vm,EC2,us-east-1,4,8,21.186,5.085,1.481,505.039,17.676,False,False,1.7662
2025-04-14,aws,aws-001,vm,EC2,us-east-1,4,8,45.805,10.993,3.429,503.345,12.426,False,False,2.5318
2025-04-15,aws,aws-001,vm,EC2,us-east-1,4,8,35.594,8.542,2.174,506.157,8.539,False,False,2.0432
2025-04-16,aws,aws-001,vm,EC2,us-east-1,4,8,43.688,10.485,2.076,504.853,6.212,False,False,2.5463
2025-04-17,aws,aws-001,vm,EC2,us-east-1,4,8,32.115,7.708,2.757,506.954,11.903,False,False,2.1195
2025-04-18,aws,aws-001,vm,EC2,us-east-1,4,8,41.945,10.067,2.523,502.308,7.167,False,False,2.5041
2025-04-19,aws,aws-001,vm,EC2,us-east-1,4,8,21.476,5.154,1.348,507.124,10.457,False,False,1.6412
2025-04-20,aws,aws-001,vm,EC2,us-east-1,4,8,18.267,4.384,0.883,499.115,6.538,False,False,1.5291
2025-04-21,aws,aws-001,vm,EC2,us-east-1,4,8,32.393,7.774,1.878,505.792,10.953,False,False,2.2175
2025-04-22,aws,aws-001,vm,EC2,us-east-1,4,8,41.149,9.876,2.947,505.093,11.17,False,False,2.4471
2025-04-23,aws,aws-001,vm,EC2,us-east-1,4,8,33.256,7.981,1.95,507.986,8.953,False,False,2.1081
2025-04-24,aws,aws-001,vm,EC2,us-east-1,4,8,39.454,9.469,3.361,507.618,10.621,False,False,2.5064
2025-04-25,aws,aws-001,vm,EC2,us-east-1,4,8,33.331,7.999,1.447,504.732,13.455,False,False,1.9443
2025-04-26,aws,aws-001,vm,EC2,us-east-1,4,8,18.033,4.328,1.426,505.033,9.366,False,False,1.5857
2025-04-27,aws,aws-001,vm,EC2,us-east-1,4,8,20.712,4.971,1.559,508.122,8.608,False,False,1.4759
2025-04-28,aws,aws-001,vm,EC2,us-east-1,4,8,35.765,8.584,2.719,502.137,7.197,False,False,2.2744
2025-04-29,aws,aws-001,vm,EC2,us-east-1,4,8,35.148,8.435,2.854,507.193,15.502,False,False,2.3291
2025-04-30,aws,aws-001,vm,EC2,us-east-1,4,8,32.395,7.775,1.456,508.136,13.57,False,False,2.2337
2025-05-01,aws,aws-001,vm,EC2,us-east-1,4,8,36.891,8.854,2.165,507.469,10.072,False,False,2.4203
2025-05-02,aws,aws-001,vm,EC2,us-east-1,4,8,33.09,7.942,2.834,514.437,13.99,False,False,2.1187
2025-05-03,aws,aws-001,vm,EC2,us-east-1,4,8,18.887,4.533,1.365,505.357,12.765,False,False,1.6899
2025-05-04,aws,aws-001,vm,EC2,us-east-1,4,8,22.867,5.488,1.015,507.203,10.522,False,False,1.7258
2025-05-05,aws,aws-001,vm,EC2,us-east-1,4,8,41.117,9.868,2.337,509.159,12.828,False,False,2.2719
2025-05-06,aws,aws-001,vm,EC2,us-east-1,4,8,43.292,10.39,1.906,508.6,11.65,False,False,2.6315
2025-05-07,aws,aws-001,vm,EC2,us-east-1,4,8,36.854,8.845,1.624,510.896,14.348,False,False,2.4633
2025-05-08,aws,aws-001,vm,EC2,us-east-1,4,8,37.25,8.94,3.253,508.507,14.974,False,False,2.1373
2025-05-09,aws,aws-001,vm,EC2,us-east-1,4,8,40.65,9.756,2.454,515.226,10.069,False,False,2.3785
2025-05-10,aws,aws-001,vm,EC2,us-east-1,4,8,23.078,5.539,0.986,514.913,12.866,False,False,1.7773
2025-05-11,aws,aws-001,vm,EC2,us-east-1,4,8,22.837,5.481,1.227,512.605,9.518,False,False,1.8846
2025-05-12,aws,aws-001,vm,EC2,us-east-1,4,8,41.228,9.895,1.673,511.909,13.94,False,False,2.6464
